commission_year,decommissionable,from_asset,initial_export_units,initial_import_units,milestone_year,to_asset
2030,false,NL_Balance,0.0,0.0,2030,NL_E_Demand
2030,false,NL_Solar,0.0,0.0,2030,NL_Balance
2030,false,NL_Wind_Onshore,0.0,0.0,2030,NL_Balance
2030,false,NL_Wind_Offshore,0.0,0.0,2030,NL_Balance
2030,false,NL_Coal,0.0,0.0,2030,NL_Balance
2030,false,NL_Nuclear,0.0,0.0,2030,NL_Balance
2030,false,NL_CCGT,0.0,0.0,2030,NL_Balance
2030,false,NL_OCGT,0.0,0.0,2030,NL_Balance
2030,false,NL_Battery,0.0,0.0,2030,NL_Balance
2030,false,NL_Balance,0.0,0.0,2030,NL_Battery
2030,false,BE_Balance,0.0,0.0,2030,BE_E_Demand
2030,false,BE_Solar,0.0,0.0,2030,BE_Balance
2030,false,BE_Wind_Onshore,0.0,0.0,2030,BE_Balance
2030,false,BE_Wind_Offshore,0.0,0.0,2030,BE_Balance
2030,false,BE_Coal,0.0,0.0,2030,BE_Balance
2030,false,BE_Nuclear,0.0,0.0,2030,BE_Balance
2030,false,BE_CCGT,0.0,0.0,2030,BE_Balance
2030,false,BE_OCGT,0.0,0.0,2030,BE_Balance
2030,false,BE_Battery,0.0,0.0,2030,BE_Balance
2030,false,BE_Balance,0.0,0.0,2030,BE_Battery
2030,false,DE_Balance,0.0,0.0,2030,DE_E_Demand
2030,false,DE_Solar,0.0,0.0,2030,DE_Balance
2030,false,DE_Wind_Onshore,0.0,0.0,2030,DE_Balance
2030,false,DE_Wind_Offshore,0.0,0.0,2030,DE_Balance
2030,false,DE_Coal,0.0,0.0,2030,DE_Balance
2030,false,DE_Nuclear,0.0,0.0,2030,DE_Balance
2030,false,DE_CCGT,0.0,0.0,2030,DE_Balance
2030,false,DE_OCGT,0.0,0.0,2030,DE_Balance
2030,false,DE_Battery,0.0,0.0,2030,DE_Balance
2030,false,DE_Balance,0.0,0.0,2030,DE_Battery
2030,false,FR_Balance,0.0,0.0,2030,FR_E_Demand
2030,false,FR_Solar,0.0,0.0,2030,FR_Balance
2030,false,FR_Wind_Onshore,0.0,0.0,2030,FR_Balance
2030,false,FR_Wind_Offshore,0.0,0.0,2030,FR_Balance
2030,false,FR_Coal,0.0,0.0,2030,FR_Balance
2030,false,FR_Nuclear,0.0,0.0,2030,FR_Balance
2030,false,FR_CCGT,0.0,0.0,2030,FR_Balance
2030,false,FR_OCGT,0.0,0.0,2030,FR_Balance
2030,false,FR_Battery,0.0,0.0,2030,FR_Balance
2030,false,FR_Balance,0.0,0.0,2030,FR_Battery
2030,false,LU_Balance,0.0,0.0,2030,LU_E_Demand
2030,false,LU_Solar,0.0,0.0,2030,LU_Balance
2030,false,LU_Wind_Onshore,0.0,0.0,2030,LU_Balance
2030,false,LU_Wind_Offshore,0.0,0.0,2030,LU_Balance
2030,false,LU_Coal,0.0,0.0,2030,LU_Balance
2030,false,LU_Nuclear,0.0,0.0,2030,LU_Balance
2030,false,LU_CCGT,0.0,0.0,2030,LU_Balance
2030,false,LU_OCGT,0.0,0.0,2030,LU_Balance
2030,false,LU_Battery,0.0,0.0,2030,LU_Balance
2030,false,LU_Balance,0.0,0.0,2030,LU_Battery
2030,false,CH_Balance,0.0,0.0,2030,CH_E_Demand
2030,false,CH_Solar,0.0,0.0,2030,CH_Balance
2030,false,CH_Wind_Onshore,0.0,0.0,2030,CH_Balance
2030,false,CH_Wind_Offshore,0.0,0.0,2030,CH_Balance
2030,false,CH_Coal,0.0,0.0,2030,CH_Balance
2030,false,CH_Nuclear,0.0,0.0,2030,CH_Balance
2030,false,CH_CCGT,0.0,0.0,2030,CH_Balance
2030,false,CH_OCGT,0.0,0.0,2030,CH_Balance
2030,false,CH_Battery,0.0,0.0,2030,CH_Balance
2030,false,CH_Balance,0.0,0.0,2030,CH_Battery
2030,false,AT_Balance,0.0,0.0,2030,AT_E_Demand
2030,false,AT_Solar,0.0,0.0,2030,AT_Balance
2030,false,AT_Wind_Onshore,0.0,0.0,2030,AT_Balance
2030,false,AT_Wind_Offshore,0.0,0.0,2030,AT_Balance
2030,false,AT_Coal,0.0,0.0,2030,AT_Balance
2030,false,AT_Nuclear,0.0,0.0,2030,AT_Balance
2030,false,AT_CCGT,0.0,0.0,2030,AT_Balance
2030,false,AT_OCGT,0.0,0.0,2030,AT_Balance
2030,false,AT_Battery,0.0,0.0,2030,AT_Balance
2030,false,AT_Balance,0.0,0.0,2030,AT_Battery
2030,false,NL_Balance,1.0,1.0,2030,BE_Balance
2030,false,NL_Balance,1.0,1.0,2030,DE_Balance
2030,false,BE_Balance,1.0,1.0,2030,LU_Balance
2030,false,BE_Balance,1.0,1.0,2030,DE_Balance
2030,false,BE_Balance,1.0,1.0,2030,FR_Balance
2030,false,DE_Balance,1.0,1.0,2030,AT_Balance
2030,false,DE_Balance,1.0,1.0,2030,FR_Balance
2030,false,DE_Balance,1.0,1.0,2030,CH_Balance
2030,false,DE_Balance,1.0,1.0,2030,LU_Balance
2030,false,FR_Balance,1.0,1.0,2030,CH_Balance
2030,false,FR_Balance,1.0,1.0,2030,LU_Balance
2030,false,CH_Balance,1.0,1.0,2030,AT_Balance
